Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2000,Miguel Tejada,Athletics,160,681,30,105,115,6,9.70%,15.00%,0.204,0.287,0.275,0.349,0.479,0.356,109,1.3,9.6,4.2,3.5,941
2014,Jose Reyes,Blue Jays,143,655,9,94,51,30,5.80%,11.10%,0.111,0.312,0.287,0.328,0.398,0.321,104,8.3,11.1,-0.1,3.5,1736
2011,Yunel Escobar,Blue Jays,133,590,11,77,48,3,10.30%,11.90%,0.123,0.316,0.29,0.369,0.413,0.348,116,-2.9,8.1,6.1,3.5,4191
2017,Tim Beckham,- - -,137,575,22,67,62,6,6.30%,29.00%,0.176,0.365,0.278,0.328,0.454,0.334,109,0.6,6.8,8.7,3.5,7949
2010,Cliff Pennington,Athletics,156,576,6,64,46,29,8.70%,16.70%,0.118,0.296,0.25,0.319,0.368,0.308,91,7.6,1.5,12.7,3.5,3395
2005,Orlando Cabrera,Angels,141,587,8,70,57,21,6.50%,8.50%,0.107,0.271,0.257,0.309,0.365,0.295,80,3.8,-10.8,26,3.5,766
2004,Juan Uribe,White Sox,134,553,23,82,74,9,5.80%,17.40%,0.223,0.307,0.283,0.327,0.506,0.352,110,-3,3.8,13.2,3.5,454
1987,Cal Ripken,Orioles,162,717,27,97,98,3,11.30%,10.70%,0.184,0.245,0.252,0.333,0.436,0.336,104,-1.8,2.2,8.8,3.5,1010978
2002,Jose Valentin,White Sox,135,527,25,70,75,3,8.20%,18.80%,0.23,0.262,0.249,0.311,0.479,0.337,102,0.6,2.1,14.8,3.5,256
1998,Mike Bordick,Orioles,151,533,13,59,51,6,7.30%,12.20%,0.151,0.276,0.26,0.328,0.411,0.327,96,-1.8,-4.9,21.6,3.5,129
2013,Jean Segura,Brewers,146,623,12,74,49,44,4.00%,13.50%,0.129,0.326,0.294,0.329,0.423,0.329,105,5.1,8.3,5.3,3.5,5933
2013,Jed Lowrie,Athletics,154,662,15,80,75,1,7.60%,13.70%,0.156,0.319,0.29,0.344,0.446,0.345,120,-1.8,13.6,-3.3,3.5,4418
2005,Bill Hall,Brewers,146,546,17,69,62,18,7.10%,18.90%,0.204,0.336,0.291,0.342,0.495,0.358,116,2.4,13.3,3.3,3.4,1605
1991,Mike Gallego,Athletics,159,567,12,67,49,6,11.80%,14.80%,0.122,0.275,0.247,0.343,0.369,0.326,105,-2.4,1.1,14.2,3.4,1004458
1998,Omar Vizquel,Indians,151,660,2,86,50,37,9.40%,9.70%,0.083,0.318,0.288,0.358,0.372,0.329,92,2.2,-5,17.1,3.4,411
1998,Jay Bell,Diamondbacks,155,645,20,79,67,3,12.60%,20.00%,0.18,0.293,0.251,0.353,0.432,0.346,106,-1.6,3,11.4,3.4,48
1991,Travis Fryman,Tigers,149,612,21,65,91,12,6.50%,24.30%,0.189,0.313,0.259,0.309,0.447,0.335,106,0.4,4.6,8.5,3.4,385
1992,Omar Vizquel,Mariners,136,527,0,49,21,15,6.10%,7.20%,0.058,0.318,0.294,0.34,0.352,0.318,96,-2.1,-4.5,20.1,3.4,411
2014,Hanley Ramirez,Dodgers,128,512,13,64,71,14,10.90%,16.40%,0.165,0.323,0.283,0.369,0.448,0.362,136,0.7,21.6,-6.1,3.4,8001
