Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1985,Glenn Hoffman,Red Sox,96,321,6,40,34,2,7.80%,12.50%,0.14,0.301,0.276,0.343,0.416,0.339,107,-0.5,2.2,0.4,1.4,1005905
2002,Mike Bordick,Orioles,117,413,8,37,36,7,8.50%,15.30%,0.134,0.258,0.232,0.302,0.365,0.297,80,-3.2,-13.1,13,1.4,129
2015,Zack Cozart,Reds,53,214,9,28,28,3,6.50%,13.60%,0.201,0.258,0.258,0.31,0.459,0.328,106,0.3,1.8,4.4,1.4,2616
2017,Jordy Mercer,Pirates,145,558,14,52,58,0,9.10%,15.80%,0.151,0.284,0.255,0.326,0.406,0.308,88,-0.9,-9.3,4.9,1.4,6547
2017,Miguel Rojas,Marlins,90,306,1,37,26,2,8.80%,10.50%,0.085,0.324,0.29,0.361,0.375,0.318,96,-0.1,-1.7,5.5,1.4,7802
1993,Jose Offerman,Dodgers,158,696,1,77,62,30,10.20%,10.80%,0.061,0.303,0.269,0.346,0.331,0.308,89,0.8,-8.7,-2.3,1.4,205
2000,Geoff Blum,Expos,124,379,11,40,45,1,6.90%,15.80%,0.166,0.312,0.283,0.335,0.449,0.338,95,-1.6,-4.2,5.7,1.4,550
2007,Rafael Furcal,Dodgers,138,643,6,87,47,25,8.60%,10.60%,0.084,0.296,0.27,0.333,0.355,0.308,82,1.3,-13.3,6,1.4,88
1999,Tony Graffanino,Devil Rays,39,142,2,20,19,3,6.30%,15.50%,0.177,0.368,0.315,0.364,0.492,0.372,117,-0.3,3,6.1,1.4,235
2015,Freddy Galvis,Phillies,151,603,7,63,50,10,5.00%,17.10%,0.081,0.309,0.263,0.302,0.343,0.283,76,4.6,-12,5.9,1.3,6609
2002,Shane Halter,Tigers,122,458,10,46,39,0,8.50%,20.10%,0.156,0.282,0.239,0.309,0.395,0.308,89,-4,-10.2,8.1,1.3,468
1985,Roy Smalley,Twins,129,452,12,57,45,0,13.30%,14.40%,0.144,0.281,0.258,0.357,0.402,0.342,107,-1,3,-4.9,1.3,1012078
2010,Nick Punto,Twins,88,288,1,24,20,6,9.70%,17.40%,0.063,0.289,0.238,0.313,0.302,0.279,68,-0.1,-10.8,13.9,1.3,1429
1991,Alvaro Espinoza,Yankees,148,509,5,51,33,4,3.10%,11.20%,0.088,0.281,0.256,0.282,0.344,0.282,72,0.4,-16.5,13.4,1.3,1003828
1993,Kevin Stocker,Phillies,70,302,2,46,31,5,9.90%,14.20%,0.093,0.381,0.324,0.409,0.417,0.364,120,1.1,8.6,-6.1,1.3,1012549
1986,Ozzie Guillen,White Sox,159,577,2,58,47,8,2.10%,9.00%,0.06,0.271,0.25,0.265,0.311,0.256,51,0,-34.5,29.1,1.3,1005125
1986,Howard Johnson,Mets,88,253,10,30,39,8,12.30%,25.30%,0.2,0.301,0.245,0.341,0.445,0.34,117,1.2,6.1,-1.6,1.3,1006462
1999,Alex Gonzalez,Blue Jays,38,173,2,22,12,4,9.20%,13.30%,0.123,0.333,0.292,0.37,0.416,0.353,104,-0.1,0.8,6.9,1.3,281
1996,Ozzie Smith,Cardinals,82,261,2,36,18,7,9.60%,3.40%,0.088,0.287,0.282,0.358,0.37,0.331,99,-0.9,-1.1,6.7,1.3,1012186
2016,Tyler Saladino,White Sox,93,319,8,33,38,11,4.10%,19.40%,0.128,0.329,0.282,0.315,0.409,0.313,95,0.1,-1.7,3.8,1.3,10807
2008,Maicer Izturis,Angels,79,321,3,44,37,11,8.10%,8.40%,0.093,0.286,0.269,0.329,0.362,0.31,86,0,-5.4,7.6,1.3,2437
2004,Craig Counsell,Brewers,140,551,2,59,23,17,10.70%,16.00%,0.074,0.29,0.241,0.33,0.315,0.288,68,2.7,-19.8,14.7,1.3,52
2000,Ricky Gutierrez,Cubs,125,542,11,73,56,8,12.20%,10.70%,0.125,0.294,0.276,0.375,0.401,0.35,104,0.8,3.5,-6.8,1.3,387
2013,Pedro Florimon,Twins,134,446,9,44,44,15,7.40%,25.80%,0.109,0.284,0.221,0.281,0.33,0.273,67,4.2,-12.5,9.9,1.3,8385
2007,Tony Pena,Royals,152,536,2,58,47,5,1.90%,14.60%,0.088,0.309,0.267,0.284,0.356,0.28,63,-2.1,-27.1,21.9,1.3,2240
2017,Trevor Story,Rockies,145,555,24,68,82,7,8.80%,34.40%,0.219,0.332,0.239,0.308,0.457,0.323,81,1,-12.5,7.6,1.3,12564
1989,Felix Fermin,Indians,156,562,0,50,21,6,7.30%,4.80%,0.023,0.251,0.238,0.302,0.26,0.266,63,-0.6,-24.5,19.2,1.3,1003991
